시군구,행정동,합계,0~4세,5~9세,10~14세,15~19세,20~24세,25~29세,30~34세,35~39세,40~44세,45~49세,50~54세,55~59세,60~64세,65~69세,70~74세,75~79세,80~84세,85~89세,90~94세,95~99세,100세 이상
성동구,왕십리도선동,26071,861,1055,878,766,1421,2350,2360,2117,2187,1681,2109,2111,1874,1498,984,755,607,336,100,20,1
성동구,마장동,21344,449,474,585,787,1746,2227,1858,1329,1292,1234,1649,1709,1705,1452,1012,805,601,311,96,22,1
성동구,사근동,11927,133,158,192,502,2553,2283,1130,532,522,503,676,625,531,465,328,337,281,141,28,7,-
성동구,행당1동,13736,372,425,471,516,879,1237,1303,1050,1050,956,1144,1011,961,806,525,440,347,171,51,14,7
성동구,행당2동,22620,687,811,858,983,1121,1339,1708,1761,1761,1719,2061,1868,1643,1424,975,870,593,308,102,22,6
성동구,응봉동,14723,372,529,715,722,744,856,1011,1027,1283,1218,1407,1155,1000,845,612,508,426,210,69,14,-
성동구,금호1가동,14580,489,542,516,495,625,818,1081,1201,1361,1112,1180,1099,1106,1045,715,525,363,215,79,12,1
성동구,금호2.3가동,21148,729,739,545,625,951,1319,1806,1937,1867,1517,1741,1626,1598,1404,949,784,601,285,100,20,5
성동구,금호4가동,14074,529,608,468,432,484,757,1120,1283,1414,1086,1144,976,1021,931,642,519,370,202,74,12,2
성동구,옥수동,25289,1078,1154,832,758,991,1277,2118,2493,2576,1859,1965,1781,1776,1663,1051,811,616,340,114,34,2
